Source,SrcLabel,Target,TgtLabel
F1E19586B4EB45378E219222F23E81DE,"12""-SW-B14H-029-",5F8D4187E4C04BAE944274D82E0CDC10,"12""-SW-B14H-029-"
07512585EEC04D138DE172A265446EAB,"14""-SW-B18H-214-",A54D5B633BFC4A429D19AC778D3F2371,"14""-SW-B14H-005-"
BA319CEB875042359D9CF4E97600F229,"14""-SW-B14H-052-",BB9000C0523A446C8D8EBF040001D9AE,"14""-SW-B14H-052-"
BA319CEB875042359D9CF4E97600F229,"14""-SW-B14H-052-",5E3A426B25DA4B27B535F6F875A04BDD,"14""-SW-B14H-052-"
3F2E00C45FE649EE8A71CA366285E8D5,"12""-SW-B14H-024-NI",C360C6A37CB84CA599B83A6A7053AB0A,"10""-SW-B14H-065-NI"
3F2E00C45FE649EE8A71CA366285E8D5,"12""-SW-B14H-024-NI",CE35BFB23CFE4A7A906E587AEDF5FE4A,"10""-SW-B14H-024-NI"
3F2E00C45FE649EE8A71CA366285E8D5,"12""-SW-B14H-024-NI",53F3FFD225B34405BBB7B38C3FB3E69A,"10""-SW-B14H-065-NI"
3F2E00C45FE649EE8A71CA366285E8D5,"12""-SW-B14H-024-NI",E2182343C50B4EFCBCF62A52C01469FA,"12""-SW-B14H-024-NI"
A0D1D209BAF4451D97A7638618323CB0,VALV-52415056,0FB3089039ED41EDA03910792A1B8295,"12""-SW-B14H-024-NI"
7105EC5097154D5FBB74C902FE0D5D80,"14""-SW-B14H-005-",BA319CEB875042359D9CF4E97600F229,"14""-SW-B14H-052-"
0FB3089039ED41EDA03910792A1B8295,"12""-SW-B14H-024-NI",260932ACA0B8414B941E0C409671B8B7,"8""-SW-B14H-024-NI"
83162CF17B244AC28C013F6E18B7CFA1,"4""-SW-B18H-066-NI",7E4CDFE4292B4A6C98287BF7C126B689,GG-5241501A
3C8F382CBAF3419DBDA398750DAE4BE9,PV-5241509,4F0C1930CB9F47DDB2ED9077D75D3A3A,"8""-SW-B14H-024-NI"
F44DD002B889453AABFEF91498951284,"24""-SW-B18H-214-",9316319A4A064FB6AD5134AA4A8946A4,"24""-SW-B18H-214-"
A9823DCAB84C42AAB695B918988A4C9A,"4""-SW-B18H-066-NI",A62FC1BB82104D22A9E7CAAB5A0B5412,"4""-SW-B18H-066-NI"
A9823DCAB84C42AAB695B918988A4C9A,"4""-SW-B18H-066-NI",83D38D3BD9B1479698C567026326A13E,"4""-SW-B18H-066-NI"
0E579CC8A43B4041B5E5A423CD85C160,FT-5111501B,D2D3BC7AE3804003BA9477122F7BF0A9,"24""-SW-B18H-214-"
D844F8C3224A4DF38EBEAA9745ADB71B,"24""-SW-B18H-214-",EF49451ECDB448C0B57D27BB83FE3770,"24""-SW-B18H-214-"
631B2AD3329F4AE6BA11CB2E9DC64772,VALV-52415024,1382BE778C6B4F3B9F28B56FC340FB35,"12""-SW-B14H-029-"
7C0D6DBA5F4F4D7BB5AC44E6E1F3DF19,"24""-SW-B18H-214-",A4B1B7995172457886655672603D53F2,"24""-SW-B18H-214-"
3DDA4458A31B498CBCCB7E5AC18C6547,"12""-SW-B14H-024-NI",83614D8665FD4C919EBD168CD616E063,"12""-SW-B14H-024-NI"
5DE1C81C75C346CB93C7A801ECD9E507,"12""-SW-B14H-024-NI",86A00F581D284435BA1AE5EA9DDFB2E5,"12""-SW-B14H-024-NI"
4F0C1930CB9F47DDB2ED9077D75D3A3A,"8""-SW-B14H-024-NI",3DDA4458A31B498CBCCB7E5AC18C6547,"12""-SW-B14H-024-NI"
16EFA207185146CC88E262A6752CE04B,"12""-SW-B14H-024-NI",4C4C0ADC37A049C98FB62A6486479B6B,"12""-SW-B14H-024-NI"
53F3FFD225B34405BBB7B38C3FB3E69A,"10""-SW-B14H-065-NI",7E4CDFE4292B4A6C98287BF7C126B689,GG-5241501A
6ED95448AA374A91961DC5436DCDF135,"4""-SW-B18H-066-NI",72318B8E2F5A41A0B069E40E01923609,"4""-SW-B18H-066-NI"
6ED95448AA374A91961DC5436DCDF135,"4""-SW-B18H-066-NI",9AEC07141E1E402294C417F8617551AB,"4""-SW-B18H-066-NI"
6ED95448AA374A91961DC5436DCDF135,"4""-SW-B18H-066-NI",CBFB1B048330472DAB1CC97A2DA1C365,"4""-SW-B18H-066-NI"
D23EA902EA884458ACCF8072D555CDE7,"24""-SW-B18H-214-",D844F8C3224A4DF38EBEAA9745ADB71B,"24""-SW-B18H-214-"
BA88E57D668647579BF3016108E65EE5,"12""-SW-B14H-024-NI",16EFA207185146CC88E262A6752CE04B,"12""-SW-B14H-024-NI"
596952EFB1D34AA4BFCF64773AF50857,ESP-52415048,C3320AA78B5D4EAEB49F8E2B98A7A529,"12""-SW-B14H-024-NI"
A62FC1BB82104D22A9E7CAAB5A0B5412,"4""-SW-B18H-066-NI",83D38D3BD9B1479698C567026326A13E,"4""-SW-B18H-066-NI"
5E3A426B25DA4B27B535F6F875A04BDD,"14""-SW-B14H-052-",715C7156BC9B4A4FAC8DE23C1C4BC329,"14""-SW-B14H-052-"
663A89CCB54F4BE2B06F689ED00AAB8E,"24""-SW-B18H-214-",8E5A24D1DF5042F9871CE6CA08BE4E08,"24""-SW-B18H-214-"
3704867669F14CDDA29807FC40470AAD,"10""-SW-B14H-024-NI",7E4CDFE4292B4A6C98287BF7C126B689,GG-5241501A
E46DE2C4256C40DFB236642B2F5EEE4D,"4""-SW-B18H-066-NI",A9823DCAB84C42AAB695B918988A4C9A,"4""-SW-B18H-066-NI"
83D38D3BD9B1479698C567026326A13E,"4""-SW-B18H-066-NI",7E4CDFE4292B4A6C98287BF7C126B689,GG-5241501A
BA41295AA3E444B7AF063D4AC1CEABCA,"12""-SW-B14H-029-",631B2AD3329F4AE6BA11CB2E9DC64772,VALV-52415024
C3B0074CAE714210BD2D341BBE9708DD,"24""-SW-B18H-002-",E37DCB79E4C64F63B1C071BDAB87A408,"24""-SW-B18H-002-"
C360C6A37CB84CA599B83A6A7053AB0A,"10""-SW-B14H-065-NI",53F3FFD225B34405BBB7B38C3FB3E69A,"10""-SW-B14H-065-NI"
260932ACA0B8414B941E0C409671B8B7,"8""-SW-B14H-024-NI",3C8F382CBAF3419DBDA398750DAE4BE9,PV-5241509
6F35FF9A2D2646C6866A91B8ACAF24CD,"4""-SW-B18H-066-NI",12DEFD367DE64FC89A6B95B752E5AC12,"4""-SW-B18H-066-NI"
183943A4A00649659B8A81AC8C23EABD,"14""-SW-B14H-028-",6A2EDF8265E8421DBA33BB5E7580309E,B-5241502B
1382BE778C6B4F3B9F28B56FC340FB35,"12""-SW-B14H-029-",39A7733B0D2047F88CB9A3E649B860A3,XV-5241549
72318B8E2F5A41A0B069E40E01923609,"4""-SW-B18H-066-NI",7E4CDFE4292B4A6C98287BF7C126B689,GG-5241501A
18D89F8791EA4F2EA68BD481A283BB73,"24""-SW-B18H-214-",3EE2AA386F8A4DAC879D7C277D7D4511,"24""-SW-B18H-214-"
6A2EDF8265E8421DBA33BB5E7580309E,B-5241502B,EE01F70565174F28A16E3EE39DEFF941,"12""-SW-B14H-024-"
CE35BFB23CFE4A7A906E587AEDF5FE4A,"10""-SW-B14H-024-NI",3704867669F14CDDA29807FC40470AAD,"10""-SW-B14H-024-NI"
B944808064D940B0987AA5D873B35CC1,"14""-SW-B14H-028-",05B5F361E4CD4851AC3F2851660BA5D7,"14""-SW-B14H-028-"
7E235C3F8F704AC5AF5AF139FDC16E0A,"4""-SW-B18H-066-NI",83162CF17B244AC28C013F6E18B7CFA1,"4""-SW-B18H-066-NI"
5F8D4187E4C04BAE944274D82E0CDC10,"12""-SW-B14H-029-",537AEE5321A649DD8AEE2AA4F56EBA90,"12""-SW-B14H-029-"
9AEC07141E1E402294C417F8617551AB,"4""-SW-B18H-066-NI",DA75F465071F4B0099024271E55BBB3C,"4""-SW-B18H-066-NI"
CBFB1B048330472DAB1CC97A2DA1C365,"4""-SW-B18H-066-NI",72318B8E2F5A41A0B069E40E01923609,"4""-SW-B18H-066-NI"
12DEFD367DE64FC89A6B95B752E5AC12,"4""-SW-B18H-066-NI",6ED95448AA374A91961DC5436DCDF135,"4""-SW-B18H-066-NI"
674920F505AD460DB6B02E89B1789491,"4""-SW-B14H-066-NI",6F35FF9A2D2646C6866A91B8ACAF24CD,"4""-SW-B18H-066-NI"
83614D8665FD4C919EBD168CD616E063,"12""-SW-B14H-024-NI",5DE1C81C75C346CB93C7A801ECD9E507,"12""-SW-B14H-024-NI"
86A00F581D284435BA1AE5EA9DDFB2E5,"12""-SW-B14H-024-NI",876D1314DD694C6E9E913D180DE8FEEB,"12""-SW-B14H-024-NI"
86A00F581D284435BA1AE5EA9DDFB2E5,"12""-SW-B14H-024-NI",674920F505AD460DB6B02E89B1789491,"4""-SW-B14H-066-NI"
86A00F581D284435BA1AE5EA9DDFB2E5,"12""-SW-B14H-024-NI",6F35FF9A2D2646C6866A91B8ACAF24CD,"4""-SW-B18H-066-NI"
792D0312AE8E4A3DA16CA658179D38A2,"12""-SW-B14H-024-NI",B8B7989D606A4B5BBFB28F6840986D17,"12""-SW-B14H-024-NI"
3E303AC1E30542B39391373EFC413239,"12""-SW-B14H-024-NI",792D0312AE8E4A3DA16CA658179D38A2,"12""-SW-B14H-024-NI"
441B037684614EC581B4E02554E4E3CA,"24""-SW-B18H-214-",51445719BBE2483FA8D2123C5875FA6E,"24""-SW-B18H-214-"
BAF69E705DDF48AA877184E03C4BB52B,2872,3E303AC1E30542B39391373EFC413239,"12""-SW-B14H-024-NI"
3EF8F05BABDF40259EADC44131819AF0,2872,BAF69E705DDF48AA877184E03C4BB52B,2872
05B5F361E4CD4851AC3F2851660BA5D7,"14""-SW-B14H-028-",183943A4A00649659B8A81AC8C23EABD,"14""-SW-B14H-028-"
05B5F361E4CD4851AC3F2851660BA5D7,"14""-SW-B14H-028-",BC9B6CDF14A1452B843D9A1C6D28FB8A,"14""-SW-B14H-028-"
E87EA9C0D1B346F98F4500A422FD4F87,"24""-SW-B18H-002-",CBC5067AA669438691F35A4D9F316F9A,"24""-SW-B18H-002-"
E2182343C50B4EFCBCF62A52C01469FA,"12""-SW-B14H-024-NI",CE35BFB23CFE4A7A906E587AEDF5FE4A,"10""-SW-B14H-024-NI"
78B19E91F58E41CE8BF250D93F8CABF4,"12""-SW-B14H-024-",EB3F38B98ED9457BB0A1A697F65D14CD,"12""-SW-B14H-024-"
E9BC66131EB24D9FBEA8881D28B25919,"12""-SW-B14H-029-",78B19E91F58E41CE8BF250D93F8CABF4,"12""-SW-B14H-024-"
39A7733B0D2047F88CB9A3E649B860A3,XV-5241549,E9BC66131EB24D9FBEA8881D28B25919,"12""-SW-B14H-029-"
537AEE5321A649DD8AEE2AA4F56EBA90,"12""-SW-B14H-029-",BA41295AA3E444B7AF063D4AC1CEABCA,"12""-SW-B14H-029-"
B433C67E79B84FE0AE9A6C7B68C9BB3E,B-5241502A,F1E19586B4EB45378E219222F23E81DE,"12""-SW-B14H-029-"
ABE0388F75204DA082A420753D0E9B08,"12""-SW-B14H-024-",FF2A6FBDC9A8418BA7223752DD262C10,"12""-SW-B14H-024-"
C6030B1381D1470BB248F6DD606DBB90,"14""-SW-B14H-026-",B433C67E79B84FE0AE9A6C7B68C9BB3E,B-5241502A
3712D33E3E15451F9E2A0536EFB11BF5,"14""-SW-B14H-026-",78EA39E83DDB4B419CEA0183172DD619,"14""-SW-B14H-026-"
3712D33E3E15451F9E2A0536EFB11BF5,"14""-SW-B14H-026-",C6030B1381D1470BB248F6DD606DBB90,"14""-SW-B14H-026-"
78EA39E83DDB4B419CEA0183172DD619,"14""-SW-B14H-026-",C6030B1381D1470BB248F6DD606DBB90,"14""-SW-B14H-026-"
288EFC7D9B254FD8B38C10660776FF9A,"14""-SW-B14H-026-",3712D33E3E15451F9E2A0536EFB11BF5,"14""-SW-B14H-026-"
3F0EDC302897422C88BA2269650C237B,HV-5111506,3B7B5F5CD4BE4A4D86BF814A9B006219,"14""-SW-B14H-005-"
5F66565B3067499783317018B867B058,XV-5241547,288EFC7D9B254FD8B38C10660776FF9A,"14""-SW-B14H-026-"
F0DA3055BB1649A5832776B1042CEEFD,"14""-SW-B14H-026-",5F66565B3067499783317018B867B058,XV-5241547
096E69E3C6D44B4DB767D596AB8A2E09,2858,7105EC5097154D5FBB74C902FE0D5D80,"14""-SW-B14H-005-"
105705F450774C218EA05BBE90970FED,"14""-SW-B14H-052-",F0DA3055BB1649A5832776B1042CEEFD,"14""-SW-B14H-026-"
308DB54064384D5F8769EAF223D56CE0,"14""-SW-B14H-005-",3F0EDC302897422C88BA2269650C237B,HV-5111506
B90913ACD9EB4181A2719EC49D7BE3DE,"14""-SW-B14H-052-",105705F450774C218EA05BBE90970FED,"14""-SW-B14H-052-"
B90643B8D5C043A681B0ACF230DF7CBC,"14""-SW-B14H-052-",2C2BB4952A044DCE96DBD2358BBC1911,"14""-SW-B14H-052-"
B90643B8D5C043A681B0ACF230DF7CBC,"14""-SW-B14H-052-",7C553E5F56F940089B25CC7F52A285CE,HV-5241524
B8B7989D606A4B5BBFB28F6840986D17,"12""-SW-B14H-024-NI",596952EFB1D34AA4BFCF64773AF50857,ESP-52415048
2595E28BB40447F1BDA5716D5CF2CF33,"12""-SW-B14H-024-",78B19E91F58E41CE8BF250D93F8CABF4,"12""-SW-B14H-024-"
2C2BB4952A044DCE96DBD2358BBC1911,"14""-SW-B14H-052-",B90643B8D5C043A681B0ACF230DF7CBC,"14""-SW-B14H-052-"
2C2BB4952A044DCE96DBD2358BBC1911,"14""-SW-B14H-052-",B90913ACD9EB4181A2719EC49D7BE3DE,"14""-SW-B14H-052-"
EB3F38B98ED9457BB0A1A697F65D14CD,"12""-SW-B14H-024-",3EF8F05BABDF40259EADC44131819AF0,2872
6A1CA6D29CD645058BF2E71637528693,XV-5241551,2595E28BB40447F1BDA5716D5CF2CF33,"12""-SW-B14H-024-"
DA75F465071F4B0099024271E55BBB3C,"4""-SW-B18H-066-NI",7E235C3F8F704AC5AF5AF139FDC16E0A,"4""-SW-B18H-066-NI"
DA75F465071F4B0099024271E55BBB3C,"4""-SW-B18H-066-NI",83162CF17B244AC28C013F6E18B7CFA1,"4""-SW-B18H-066-NI"
DA75F465071F4B0099024271E55BBB3C,"4""-SW-B18H-066-NI",E46DE2C4256C40DFB236642B2F5EEE4D,"4""-SW-B18H-066-NI"
FF2A6FBDC9A8418BA7223752DD262C10,"12""-SW-B14H-024-",B27B64CAA71642DA90B540A0864BF58D,VALV-52415031
47B23B0B0D2842EE81F10FBD51ACD595,"12""-SW-B14H-024-",6A1CA6D29CD645058BF2E71637528693,XV-5241551
B27B64CAA71642DA90B540A0864BF58D,VALV-52415031,47B23B0B0D2842EE81F10FBD51ACD595,"12""-SW-B14H-024-"
7C553E5F56F940089B25CC7F52A285CE,HV-5241524,B90643B8D5C043A681B0ACF230DF7CBC,"14""-SW-B14H-052-"
7C553E5F56F940089B25CC7F52A285CE,HV-5241524,BB9000C0523A446C8D8EBF040001D9AE,"14""-SW-B14H-052-"
C8AC0F7B15BB4296AAB0451CE54CE0C4,"12""-SW-B14H-024-NI",A0D1D209BAF4451D97A7638618323CB0,VALV-52415056
A9A054CF690743A194A1370C128C92BF,"12""-SW-B14H-024-",ABE0388F75204DA082A420753D0E9B08,"12""-SW-B14H-024-"
A9A8357A4A284F00964452E9BF83B9A2,"24""-SW-B18H-002-",C3B0074CAE714210BD2D341BBE9708DD,"24""-SW-B18H-002-"
A9A8357A4A284F00964452E9BF83B9A2,"24""-SW-B18H-002-",E37DCB79E4C64F63B1C071BDAB87A408,"24""-SW-B18H-002-"
876D1314DD694C6E9E913D180DE8FEEB,"12""-SW-B14H-024-NI",3F2E00C45FE649EE8A71CA366285E8D5,"12""-SW-B14H-024-NI"
537D59BD3F004653B62DA5A6F78C5114,"14""-SW-B14H-028-",084CEBB7191E433FAC9D7E9F442FEAD5,XV-5241552
EE01F70565174F28A16E3EE39DEFF941,"12""-SW-B14H-024-",A9A054CF690743A194A1370C128C92BF,"12""-SW-B14H-024-"
BC9B6CDF14A1452B843D9A1C6D28FB8A,"14""-SW-B14H-028-",183943A4A00649659B8A81AC8C23EABD,"14""-SW-B14H-028-"
084CEBB7191E433FAC9D7E9F442FEAD5,XV-5241552,B944808064D940B0987AA5D873B35CC1,"14""-SW-B14H-028-"
C3320AA78B5D4EAEB49F8E2B98A7A529,"12""-SW-B14H-024-NI",BA88E57D668647579BF3016108E65EE5,"12""-SW-B14H-024-NI"
715C7156BC9B4A4FAC8DE23C1C4BC329,"14""-SW-B14H-052-",537D59BD3F004653B62DA5A6F78C5114,"14""-SW-B14H-028-"
